PLACENAME,GEOID,TOTPOP2020
Alpine city,4900540,10251
Alta town,4900650,228
Altamont town,4900760,239
Alton town,4900870,118
Amalga town,4901090,482
American Fork city,4901310,33337
Aneth CDP,4901530,427
Annabella town,4901750,836
Antimony town,4901860,118
Apple Valley town,4901905,855
Aurora city,4902740,984
Avon CDP,4902960,390
Ballard town,4903345,1131
Bear River City city,4903950,877
Beaver city,4904060,3592
Benjamin CDP,4904720,1196
Benson CDP,4905050,1492
Beryl Junction CDP,4905380,161
Bicknell town,4905490,323
Big Water town,4905534,449
Blanding city,4906370,3394
Bluebell CDP,4906590,278
Bluff town,4906700,240
Bluffdale city,4906810,17014
Bonanza CDP,4906920,0
Boulder town,4907470,227
Bountiful city,4907690,45762
Brian Head town,4908020,151
Brigham City city,4908460,19650
Brighton town,4908570,432
Bryce Canyon City town,4908787,336
Cache CDP,4909725,38
Cannonville town,4910330,186
Carbonville CDP,4910440,1383
Castle Dale city,4910660,1492
Castle Valley town,4911000,347
Cedar City city,4911320,35235
Cedar Fort town,4911430,427
Cedar Highlands town,4911435,99
Cedar Hills city,4911440,10019
Centerfield town,4911870,1341
Centerville city,4911980,16884
Central CDP,4912200,656
Central Valley town,4912260,647
Charleston town,4912420,436
Circleville town,4912970,550
Clarkston town,4913190,749
Clawson town,4913300,162
Clear Creek CDP,4913740,12
Clearfield city,4913850,31909
Cleveland town,4914070,497
Clinton city,4914290,23386
Coalville city,4914840,1486
Copperton metro township,4915720,829
Corinne city,4915830,809
Cornish town,4915940,274
Cottonwood Heights city,4916270,33617
Cove CDP,4916490,494
Dammeron Valley CDP,4918090,871
Daniel town,4918140,916
Delta city,4918910,3622
Deseret CDP,4919020,327
Deweyville town,4919680,417
Draper city,4920120,51017
Duchesne city,4920340,1588
Dugway CDP,4920450,342
Dutch John town,4920780,141
Eagle Mountain city,4920810,43623
East Basin CDP,4920850,3023
East Carbon city,4920890,1556
Echo CDP,4921880,60
Eden CDP,4921990,690
Elberta CDP,4922210,180
Elk Ridge city,4922370,4687
Elmo town,4922540,405
Elsinore town,4922650,802
Elwood town,4922760,1173
Emery town,4922870,307
Emigration Canyon metro township,4922875,1466
Enoch city,4923200,7374
Enterprise CDP,4923310,575
Enterprise city,4923420,2027
Ephraim city,4923530,5611
Erda CDP,4923640,3673
Escalante city,4923750,786
Eureka city,4924080,662
Fairfield town,4924410,160
Fairview city,4924630,1203
Farmington city,4924740,24531
Farr West city,4924850,7691
Fayette town,4925070,245
Ferron city,4925180,1474
Fielding town,4925290,546
Fillmore city,4925510,2592
Flaming Gorge CDP,4925910,72
Fort Duchesne CDP,4926610,546
Fountain Green city,4926720,1197
Francis town,4926940,1564
Fremont CDP,4927270,167
Fruit Heights city,4927490,6101
Garden CDP,4927902,240
Garden City town,4927930,602
Garland city,4928150,2589
Genola town,4928810,1548
Glendale town,4929360,312
Glenwood town,4929580,474
Goshen town,4930130,978
Granite CDP,4930900,1076
Grantsville city,4931120,12617
Green River city,4931670,847
Gunnison city,4932660,3509
Halchita CDP,4933002,273
Halls Crossing CDP,4933027,4
Hanksville town,4933100,158
Harrisville city,4933540,7036
Hatch town,4933760,132
Heber city,4934200,16856
Helper city,4934530,2112
Henefer town,4934640,838
Henrieville town,4934750,221
Herriman city,4934970,55144
Hideout town,4935120,922
Highland city,4935190,19348
Hildale city,4935300,1127
Hinckley town,4935740,614
Hobble Creek CDP,4935823,169
Holden town,4935960,438
Holladay city,4936070,31965
Honeyville city,4936290,1606
Hooper city,4936400,9087
Howell town,4936620,240
Hoytsville CDP,4936730,702
Huntington city,4936950,1914
Huntsville town,4937060,573
Hurricane city,4937170,20036
Hyde Park city,4937390,5234
Hyrum city,4937500,9362
Independence town,4937690,121
Interlaken town,4937924,179
Ivins city,4938710,8978
Jensen CDP,4939040,372
Joseph town,4939370,288
Junction town,4939590,212
Kamas city,4939810,2092
Kanab city,4939920,4683
Kanarraville town,4940030,442
Kanosh town,4940250,508
Kaysville city,4940360,32945
Kearns metro township,4940470,36723
Kenilworth CDP,4941020,200
Kingston town,4941350,135
Koosharem town,4941680,244
Lake Shore CDP,4943110,802
Laketown town,4943440,299
Lapoint CDP,4942230,170
La Sal CDP,4942560,348
La Verkin city,4942890,4354
Layton city,4943660,81773
Leamington town,4943880,256
Leeds town,4944100,864
Lehi city,4944320,75907
Levan town,4944650,862
Lewiston city,4944760,1939
Liberty CDP,4944870,1522
Lindon city,4945090,11397
Loa town,4945530,516
Logan city,4945860,52778
Lyman town,4946410,196
Lynndyl town,4946740,111
Maeser CDP,4947180,4081
Magna metro township,4947290,29251
Manila town,4947620,308
Manti city,4947730,3429
Mantua town,4947840,1090
Mapleton city,4947950,11365
Marion CDP,4948170,676
Marriott-Slaterville city,4948300,2135
Marysvale town,4948610,356
Mayfield town,4948720,556
Meadow town,4948830,320
Mendon city,4949160,1339
Mexican Hat CDP,4949380,21
Midvale city,4949710,36028
Midway city,4949820,6003
Milford city,4950040,1431
Millcreek city,4950150,63380
Millville city,4950370,2326
Minersville town,4950590,807
Moab city,4950700,5366
Modena CDP,4950810,15
Mona city,4951140,1750
Monroe city,4951360,2515
Montezuma Creek CDP,4951470,284
Monticello city,4951580,1824
Morgan city,4951910,4071
Moroni city,4952130,1544
Mountain Green CDP,4953010,4231
Mount Pleasant city,4952460,3655
Murray city,4953230,50637
Myton city,4953340,561
Naples city,4953560,2280
Navajo Mountain CDP,4953890,450
Neola CDP,4954110,491
Nephi city,4954220,6443
Newcastle CDP,4954440,330
New Harmony town,4954330,236
Newton town,4954550,789
Nibley city,4954660,7328
North Logan city,4954990,10986
North Ogden city,4955100,20916
North Salt Lake city,4955210,21907
Oak City town,4955430,595
Oakley city,4955650,1588
Oasis CDP,4955760,58
